Data,Room price,Cost of living,Turnover of trade,Producer price index,New orders in manufacturing,Turnover in construction (Positive/Negative),Unemployed job seekers,Interest rates
2006M01,80.32,1595,81.5,90.6,111,Positive,501160,1.25
2006M02,81.23,1607,77.6,91,107.2,Positive,500532,1.25
2006M03,82.82,1612,92.2,91.5,153.9,Positive,498493,1.25
2006M04,81.14,1621,88.1,92.3,100,Positive,493159,1.5
2006M05,81.28,1623,96.9,92.4,113.2,Positive,486255,1.5
2006M06,79.92,1624,98.4,92.6,114,Positive,492907,1.5
2006M07,71.4,1620,84.4,93.5,98.2,Positive,492288,1.75
2006M08,76.27,1626,96,93.5,103.7,Positive,465894,1.75
2006M09,84.24,1629,95,92.8,121.4,Positive,456857,2
2006M10,84.85,1633,97.9,93.3,120.7,Positive,458286,2
2006M11,85.6,1634,96.1,93.4,119.3,Positive,461145,2.25
2006M12,82.33,1635,101.7,92.8,104.7,Positive,467728,2.25
2007M01,84.56,1632,88.4,92.2,123.4,Positive,465489,2.5
2007M02,83.77,1642,84.3,92.5,113,Positive,464611,2.5
2007M03,85.56,1655,98.7,93,118.1,Positive,460993,2.5
2007M04,83.84,1663,96.4,94.5,129.3,Positive,453177,2.75
2007M05,90.32,1661,102.7,95.2,154.8,Positive,448657,2.75
2007M06,83.71,1663,103.7,95.2,120,Positive,453480,2.75
2007M07,74.42,1662,92.4,95.2,105.3,Positive,454619,3
2007M08,79.34,1664,103.1,95.1,113.6,Positive,428562,3
2007M09,85.54,1671,97.2,95.4,120,Positive,419542,3
2007M10,85.48,1677,107.9,96,141.7,Positive,420577,3
2007M11,86.14,1680,103.5,96.1,128.8,Positive,422773,3
2007M12,86.8,1678,105.2,95.6,105,Positive,428631,3
2008M01,87.33,1695,98.3,97,141.4,Positive,428442,3
2008M02,88.18,1703,95.5,97.7,121.2,Positive,426487,3
2008M03,89.03,1719,100.1,98,113.8,Positive,423203,3
2008M04,90.03,1721,114,98.7,121.7,Positive,417953,3
2008M05,89.59,1730,112.5,99.5,117.3,Positive,415086,3
2008M06,86.84,1736,109.3,100.3,120.8,Positive,421266,3
